,0
YearsAsCoach,0.00584854393107378
DaysTSubmitNoMissing,-0.13349504427036163
FitNoMissing,0.008911967306175054
RelationshipBuildingNoMissing,-0.01205150530465839
FinalAchievementNoMissing,0.03948677414571715
CommAndPresNoMissing,-0.038310779686963926
PredModelScoreNoMissing,-0.03704619600818105
CMProspectRatingNoMissing,0.03856370142696829
AgeAtFDOSNoMissing,0.21636816696422
SchoolSelectivityNoMissing,-0.06655249652674855
CumuGPANoMissing,-0.007658347717455497
PerseveranceNoMissing,-0.0700900378989071
FRPLNoMissing,0.01145222735105169
YearsSchoolPartnerNoMissing,-0.07228961347071029
YearsPartnerPartnerNoMissing,0.06551033410507646
FirstYearsInSchoolNoMissing,-0.011166924963192526
SecondYearsInSchoolNoMissing,0.01439993127608684
CMsInSchoolNoMissing,0.19704090238355737
CertProgramCostNoMissing,0.3357241094308606
AvgFirstMonthSalNoMissing,-0.5965414622175637
RentPropNoMissing,-0.15621717956362763
AvgRentNoMissing,0.03420172744414192
CorpsSizeNoMissing,-0.015516737819315052
RegPrefLevNoMissing,-0.06397617972446173
CSI6NoMissing,-0.038010211740417604
CSI5NoMissing,-0.09830494479215778
CSI3NoMissing,-0.019771765608044785
CSI12NoMissing,-0.14022899710820186
CLI8NoMissing,-0.1234346037878867
CLI6NoMissing,0.08318260568640512
OtherCMsSameCoachNoMissing,0.12281922708633003
OtherCMsPrevCoachNoMissing,0.05277718890764788
K12TeachNo,0.07229600688147134
K12TeachYes,-0.00393667142132712
K12TeachNull,0.06629912589033596
HadFamRespNo,0.18552996840667116
HadFamRespYes,0.16140093262783775
HadFamRespNull,0.08649149024690662
PellGrantNoOrMissing,0.34461812835585137
PellGrantYes,0.41347141157740175
GenderFemale,0.14200062088247628
GenderMale,0.03186888438650772
CalcGradStudent,-7.243015247583183e-05
CalcJunior,0.21802036537296285
CalcProfessional,-0.1439250176140528
CalcUndergrad,-0.002297920369188274
CalcUnknown,-0.05753574144290995
AttendLIC_HS_No,0.3077260846905743
AttendLIC_HS_Yes,0.08653236156339496
AttendLIC_HS_Unknown,0.16136006131294542
GrewUpLIC_No_Or_Unknown,0.08384332263480643
GrewUpLIC_Yes,0.16404910024157396
LIC_Served_No_Or_Unknown,-0.30106249029601106
LIC_Served_Yes,0.3242550662809413
Eth_Black,0.22500361936163166
Eth_Native,0.07709548011211853
Eth_AsianAmPacIsl,-0.09123383982151359
Eth_Latinx,-0.015592260030394371
Eth_MultiEthMultiRacial,0.029426847269123035
Eth_OtherOrUnknown,0.1632073143025365
Eth_White,0.08468510857017288
VarsitySport_No_Or_Unknown,0.11337956478857551
VarsitySport_Yes,0.13451285808384317
DeferralRequested,0.07532123604454266
DeferralNotRequested,0.17257118683325454
Title1No,-0.1401156409765517
Title1Yes,0.04257482116000702
Grade_ECE,-0.008284793512123854
Grade_HIGH,0.17237373495119251
Grade_LOWELEM,0.30652295328980567
Grade_MIDDLE,-0.12517865203306838
Grade_UPPERELEM,-0.09317402978443978
Grade_Unknown,-0.4428811675974988
School_Charter,0.7839476202589073
School_Public,0.3650839758363922
School_Other,0.04105461153554633
LGB_NoProtect,-0.1582461644907613
LGB_LocalProtect,0.23166901308496482
LGB_StateProtect,0.016223409792960178
TeacherPP_No,0.145989547625441
TeacherPP_Yes,0.12517176104759986
Region_Large,-0.023268885794414853
Region_Medium,0.16252763135790674
Region_Small,-0.3342872978764283
Urbanicity_Both,0.4196520893928425
Urbanicity_Rural,0.35286575515413693
Urbanicity_Urban,0.0553348658213339
COL_High,-0.1603081980944374
COL_Low,0.11282508104996845
COL_Medium,0.1350673418245604
MajorTeaching_Match,0.11380948311995573
MajorTeaching_Mismatch,0.13408293975611757
