,XGB_Score,RF_Umsampled_Score,LR_Upsampled_Score,XGB_Upsampled_Score,RF_Downsampled_Score,LR_Downsampled_Score,XGB_Downsampled_Score
accuracy,0.6805827353772559,0.9639051967819091,0.6257882148293107,0.7573385518590998,0.6101326375298978,0.5886062187432051,0.6160034790171777
recall,0.46060606060606063,0.0,0.5575757575757576,0.43636363636363634,0.6060606060606061,0.6,0.5636363636363636
precision,0.0521978021978022,0.0,0.052873563218390804,0.06575342465753424,0.05470459518599562,0.05142857142857143,0.05204252937884723
f1_score,0.09376927822331894,0.0,0.09658792650918635,0.11428571428571427,0.10035122930255895,0.09473684210526316,0.09528688524590163
roc_auc_score,0.5746873334153442,0.4998872350022553,0.5929511625046131,0.6028232254889899,0.6081723869274613,0.5940911141181777,0.5907942756386599
confusion_matrix,"[[3054 1380]
 [  89   76]]","[[4433    1]
 [ 165    0]]","[[2786 1648]
 [  73   92]]","[[3411 1023]
 [  93   72]]","[[2706 1728]
 [  65  100]]","[[2608 1826]
 [  66   99]]","[[2740 1694]
 [  72   93]]"
