,XGB_Score,RF_Umsampled_Score,LR_Upsampled_Score,XGB_Upsampled_Score,RF_Downsampled_Score,LR_Downsampled_Score,XGB_Downsampled_Score
accuracy,0.6834094368340944,0.9639051967819091,0.6368775820830616,0.7653837790824092,0.6103500761035008,0.5999130245705588,0.6264405305501196
recall,0.4909090909090909,0.0,0.5454545454545454,0.3878787878787879,0.5818181818181818,0.593939393939394,0.5454545454545454
precision,0.055746730901582935,0.0,0.05341246290801187,0.061420345489443376,0.052776250687190766,0.052378407268840195,0.05193306405077899
f1_score,0.10012360939431397,0.0,0.0972972972972973,0.10604805302402652,0.09677419354838711,0.0962671905697446,0.09483667017913593
roc_auc_score,0.590740968548817,0.4998872350022553,0.5928671013244762,0.5836552261450774,0.5966149997949727,0.5970373559683438,0.5874543814327305
confusion_matrix,"[[3062 1372]
 [  84   81]]","[[4433    1]
 [ 165    0]]","[[2839 1595]
 [  75   90]]","[[3456  978]
 [ 101   64]]","[[2711 1723]
 [  69   96]]","[[2661 1773]
 [  67   98]]","[[2791 1643]
 [  75   90]]"
